表1,admin_info（管理员信息表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"管理员账号（主键）"
name,VARCHAR,50,是,,"管理员姓名"
salt,VARCHAR,50,是,,"密码盐值（随机字符串）"
pwd,CHAR,64,是,,"密码（SHA256哈希值）"

表2,customer_info（客户信息表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"客户编号（主键）"
name,VARCHAR,50,是,,"客户姓名"
salt,VARCHAR,50,否,NULL,"密码盐值"
pwd,CHAR,64,否,NULL,"密码（SHA256哈希值）"
gender,CHAR,1,是,M,"性别（M-男，F-女，U-未知）"
email,VARCHAR,30,是,"","电子邮件"
phone,VARCHAR,20,是,"","电话"
address,VARCHAR,100,是,"","地址"
zip_code,VARCHAR,10,是,"","邮政编码"
car_model,VARCHAR,20,是,"","车辆型号"
car_condition,VARCHAR,50,是,"","车辆情况"
car_id,VARCHAR,20,是,"","车辆编号"

表3,customer_car_info（客户车辆信息表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"车辆编号（主键）"
condition,VARCHAR,20,是,,"车辆情况"
color,VARCHAR,20,是,,"车辆颜色"
cust_name,VARCHAR,50,是,,"所属客户姓名"
model,VARCHAR,20,是,,"车辆型号"

表4,beauty_maintenance_proj（美容保养项目表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"项目编号（主键）"
proj_name,VARCHAR,20,是,,"项目名称"
price,DECIMAL,"15,2",是,0.00,"项目价格"
group_id,VARCHAR,20,是,,"班组编号"

表5,employee_info（职员信息表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"职员编号（主键）"
name,VARCHAR,50,是,,"职员姓名"
gender,CHAR,1,是,M,"性别（M-男，F-女，U-未知）"
email,VARCHAR,30,是,"","电子邮件"
phone,VARCHAR,20,是,"","电话号码"
address,VARCHAR,100,是,"","住址"
zip_code,VARCHAR,10,是,"","邮政编码"
group_id,VARCHAR,20,是,"","班组编号"
monthly_working_hours,DECIMAL,"5,2",是,0.00,"本月总工时"
monthly_salary,DECIMAL,"15,2",是,0.00,"本月工资数"

表6,parts_info（配件信息表）,,,,,
列名,数据类型,字段大小,必填字段,默认值,说明
id,VARCHAR,20,是,,"配件编号（主键）"
model,VARCHAR,20,是,,"配件型号"
name,VARCHAR,50,是,"","配件名称"
number,INT,,是,"","配件数量"
classification,VARCHAR,20,是,"","分类"
price,DECIMAL,"15,2",是,0.00,"零售价格"
remarks,VARCHAR,100,是,"","备注"